,Plant,Type,Treatment,uptake,id
0,Qn1,Quebec,nonchilled,16.0,0
1,Qn1,Quebec,nonchilled,30.4,1
2,Qn1,Quebec,nonchilled,34.8,2
3,Qn1,Quebec,nonchilled,37.2,3
4,Qn1,Quebec,nonchilled,35.3,4
5,Qn1,Quebec,nonchilled,39.2,5
6,Qn1,Quebec,nonchilled,39.7,6
7,Qn2,Quebec,nonchilled,13.6,7
8,Qn2,Quebec,nonchilled,27.3,8
9,Qn2,Quebec,nonchilled,37.1,9
10,Qn2,Quebec,nonchilled,41.8,10
11,Qn2,Quebec,nonchilled,40.6,11
12,Qn2,Quebec,nonchilled,41.4,12
13,Qn2,Quebec,nonchilled,44.3,13
14,Qn3,Quebec,nonchilled,16.2,14
15,Qn3,Quebec,nonchilled,32.4,15
16,Qn3,Quebec,nonchilled,40.3,16
17,Qn3,Quebec,nonchilled,42.1,17
18,Qn3,Quebec,nonchilled,42.9,18
19,Qn3,Quebec,nonchilled,43.9,19
20,Qn3,Quebec,nonchilled,45.5,20
21,Qc1,Quebec,chilled,14.2,21
22,Qc1,Quebec,chilled,24.1,22
23,Qc1,Quebec,chilled,30.3,23
24,Qc1,Quebec,chilled,34.6,24
25,Qc1,Quebec,chilled,32.5,25
26,Qc1,Quebec,chilled,35.4,26
27,Qc1,Quebec,chilled,38.7,27
28,Qc2,Quebec,chilled,9.3,28
29,Qc2,Quebec,chilled,27.3,29
30,Qc2,Quebec,chilled,35.0,30
31,Qc2,Quebec,chilled,38.8,31
32,Qc2,Quebec,chilled,38.6,32
33,Qc2,Quebec,chilled,37.5,33
34,Qc2,Quebec,chilled,42.4,34
35,Qc3,Quebec,chilled,15.1,35
36,Qc3,Quebec,chilled,21.0,36
37,Qc3,Quebec,chilled,38.1,37
38,Qc3,Quebec,chilled,34.0,38
39,Qc3,Quebec,chilled,38.9,39
40,Qc3,Quebec,chilled,39.6,40
41,Qc3,Quebec,chilled,41.4,41
42,Mn1,Mississippi,nonchilled,10.6,42
43,Mn1,Mississippi,nonchilled,19.2,43
44,Mn1,Mississippi,nonchilled,26.2,44
45,Mn1,Mississippi,nonchilled,30.0,45
46,Mn1,Mississippi,nonchilled,30.9,46
47,Mn1,Mississippi,nonchilled,32.4,47
48,Mn1,Mississippi,nonchilled,35.5,48
49,Mn2,Mississippi,nonchilled,12.0,49
50,Mn2,Mississippi,nonchilled,22.0,50
51,Mn2,Mississippi,nonchilled,30.6,51
52,Mn2,Mississippi,nonchilled,31.8,52
53,Mn2,Mississippi,nonchilled,32.4,53
54,Mn2,Mississippi,nonchilled,31.1,54
55,Mn2,Mississippi,nonchilled,31.5,55
56,Mn3,Mississippi,nonchilled,11.3,56
57,Mn3,Mississippi,nonchilled,19.4,57
58,Mn3,Mississippi,nonchilled,25.8,58
59,Mn3,Mississippi,nonchilled,27.9,59
60,Mn3,Mississippi,nonchilled,28.5,60
61,Mn3,Mississippi,nonchilled,28.1,61
62,Mn3,Mississippi,nonchilled,27.8,62
63,Mc1,Mississippi,chilled,10.5,63
64,Mc1,Mississippi,chilled,14.9,64
65,Mc1,Mississippi,chilled,18.1,65
66,Mc1,Mississippi,chilled,18.9,66
67,Mc1,Mississippi,chilled,19.5,67
68,Mc1,Mississippi,chilled,22.2,68
69,Mc1,Mississippi,chilled,21.9,69
70,Mc2,Mississippi,chilled,7.7,70
71,Mc2,Mississippi,chilled,11.4,71
72,Mc2,Mississippi,chilled,12.3,72
73,Mc2,Mississippi,chilled,13.0,73
74,Mc2,Mississippi,chilled,12.5,74
75,Mc2,Mississippi,chilled,13.7,75
76,Mc2,Mississippi,chilled,14.4,76
77,Mc3,Mississippi,chilled,10.6,77
78,Mc3,Mississippi,chilled,18.0,78
79,Mc3,Mississippi,chilled,17.9,79
80,Mc3,Mississippi,chilled,17.9,80
81,Mc3,Mississippi,chilled,17.9,81
82,Mc3,Mississippi,chilled,18.9,82
83,Mc3,Mississippi,chilled,19.9,83
